,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,1,大安區,2023-05-27 13:26:04,復興南路二段235號前,24,1
1,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-27 13:17:22,復興南路二段273號西側,21,1
3,YouBike2.0_和平公園東側,11,2,大安區,2023-05-27 13:24:14,和平東路二段118巷33號,9,1
5,YouBike2.0_復興南路二段280號前,11,2,大安區,2023-05-27 13:26:19,復興南路二段280號,9,1
7,YouBike2.0_新生南路三段52號前,17,1,大安區,2023-05-27 12:59:04,新生南路三段52號,15,1
8,YouBike2.0_新生南路三段66號前,16,2,大安區,2023-05-27 13:25:15,新生南路三段66號東側,14,1
9,YouBike2.0_新生南路三段82號前,20,1,大安區,2023-05-27 13:25:15,新生南路三段82號,18,1
10,YouBike2.0_辛亥路一段30號前,8,2,大安區,2023-05-27 13:11:15,辛亥路一段30號,6,1
13,YouBike2.0_大安運動中心停車場,14,3,大安區,2023-05-27 13:23:15,敦南街76巷28號,11,1
14,YouBike2.0_羅斯福路三段245號前,8,3,大安區,2023-05-27 13:19:14,羅斯福路三段245號,5,1
15,YouBike2.0_溫州公園,5,1,大安區,2023-05-27 13:26:04,羅斯福路三段283巷11號,4,1
17,YouBike2.0_溫州停車場,5,1,大安區,2023-05-27 13:23:15,新生南路三段54巷/溫州街口,4,1
18,YouBike2.0_銘傳國小側門,7,1,大安區,2023-05-27 13:21:17,羅斯福路四段21號旁天橋下,5,1
23,YouBike2.0_公館公園,15,1,大安區,2023-05-27 13:21:17,羅斯福路四段113巷基隆路四段41巷口,14,1
26,YouBike2.0_臺大環研大樓,15,3,大安區,2023-05-27 12:44:13,芳蘭路/基隆路三段155巷口,12,1
29,YouBike2.0_臺大男一舍前,61,2,大安區,2023-05-27 13:23:15,長興街50號西北側,59,1
35,YouBike2.0_臺大社科院圖書館前,27,1,大安區,2023-05-27 13:25:15,辛亥路與復興南路口西南側,26,1
38,YouBike2.0_辛亥新生路口東南側,41,2,大安區,2023-05-27 13:15:14,辛亥新生路口東南側,38,1
39,YouBike2.0_基隆長興路口東側,15,1,大安區,2023-05-27 13:17:32,基隆長興路口東側,14,1
40,YouBike2.0_國北教大側門南側,25,3,大安區,2023-05-27 13:14:18,敦南街51號,21,1
42,YouBike2.0_大安區健康服務中心,15,0,大安區,2023-05-27 13:07:04,辛亥路三段15號,15,1
46,YouBike2.0_臥龍公園,14,2,大安區,2023-05-27 13:26:19,辛亥路三段223號西側,12,1
50,YouBike2.0_喬治工商,26,1,大安區,2023-05-27 13:21:04,基隆路二段166號,22,1
51,YouBike2.0_法治公園,15,0,大安區,2023-05-27 12:57:04,通化街189號西側,14,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,3,大安區,2023-05-27 13:23:15,辛亥路一段/羅斯福路三段口北側(辛亥路側),12,1
54,YouBike2.0_和平龍泉街口,34,0,大安區,2023-05-27 13:21:04,和平東路一段/龍泉街口西南側,33,1
60,YouBike2.0_新生和平路口東北側,38,2,大安區,2023-05-27 13:21:17,新生南路二段與和平東路二段口東北側,35,1
62,YouBike2.0_金華公園,35,1,大安區,2023-05-27 13:25:15,金華街249號對面,32,1
63,YouBike2.0_捷運東門站(3號出口),15,1,大安區,2023-05-27 13:23:15,信義路二段128號前,14,1
68,YouBike2.0_敦化基隆路口,29,1,大安區,2023-05-27 13:15:14,敦化南路二段218號,26,1
69,YouBike2.0_安和路二段181巷口,17,1,大安區,2023-05-27 13:25:15,安和路二段185號,16,1
70,YouBike2.0_臨江街夜市(通化街101巷口),30,1,大安區,2023-05-27 13:26:19,通化街111號,27,1
71,YouBike2.0_臨江街夜市(基隆路),17,0,大安區,2023-05-27 13:17:22,基隆路二段108號,14,1
72,YouBike2.0_台北科技大學億光大樓,46,2,大安區,2023-05-27 13:23:15,忠孝東路三段81號,43,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
79,YouBike2.0_捷運大安站(4號出口),13,0,大安區,2023-05-27 13:26:04,信義路4段6號(前),11,1
80,YouBike2.0_捷運大安站(2號出口),22,0,大安區,2023-05-27 12:53:04,信義路3段143號(前),22,1
81,YouBike2.0_信義大安路口(信維大樓),12,1,大安區,2023-05-27 13:21:17,信義路四段74號(前),10,1
84,YouBike2.0_信義敦化路口,46,2,大安區,2023-05-27 13:25:15,信義路四段155號前,44,1
85,YouBike2.0_仁愛國中,25,0,大安區,2023-05-27 13:12:04,安和路一段75號(對面),23,1
86,YouBike2.0_捷運信義安和站(2號出口),26,0,大安區,2023-05-27 13:26:19,信義路四段188號前,25,1
87,YouBike2.0_八德市場,30,1,大安區,2023-05-27 13:26:19,市民大道三段170號,28,1
88,YouBike2.0_昌隆公園,16,2,大安區,2023-05-27 13:22:14,市民大道三段206號西側,13,1
90,YouBike2.0_信義延吉街口,15,1,大安區,2023-05-27 13:23:15,信義路四段353號,14,1
91,YouBike2.0_光信公園(光復南路456巷),15,2,大安區,2023-05-27 13:21:17,延吉街249號,12,1
94,YouBike2.0_捷運忠孝新生站(6號出口),15,0,大安區,2023-05-27 13:23:04,新生南路一段101號,15,1
95,YouBike2.0_捷運忠孝新生站(4號出口),34,0,大安區,2023-05-27 13:26:19,忠孝新生路口北側,33,1
96,YouBike2.0_大安高工,23,2,大安區,2023-05-27 13:24:14,復興南路二段52號(前),18,1
97,YouBike2.0_捷運忠孝新生站(3號出口),23,1,大安區,2023-05-27 13:26:04,忠孝東路三段與10巷口,22,1
99,YouBike2.0_敦化市民路口,23,2,大安區,2023-05-27 13:19:14,敦化南路1段158號(前),18,1
102,YouBike2.0_東豐公園,19,1,大安區,2023-05-27 13:26:04,東豐街24號(旁公園路側),17,1
103,YouBike2.0_德安公園(四維路66巷),14,3,大安區,2023-05-27 13:17:32,四維路66巷6號北側,11,1
108,YouBike2.0_樂利路21巷口,17,1,大安區,2023-05-27 13:22:14,樂利路25號,16,1
112,YouBike2.0_捷運信義安和站(4號出口),30,0,大安區,2023-05-27 13:25:15,信義路四段252號前,29,1
116,YouBike2.0_敦化南路二段103巷口,24,2,大安區,2023-05-27 13:22:14,敦化南路二段99號前,22,1
119,YouBike2.0_芳蘭山莊,16,2,大安區,2023-05-27 12:42:04,基隆路三段155巷148號,14,1
124,YouBike2.0_臺北科技大學(電機工程系),16,0,大安區,2023-05-27 13:26:04,忠孝東路三段100號對側,16,1
128,YouBike2.0_捷運大安站(6號出口),19,0,大安區,2023-05-27 13:14:04,復興南路一段303號前,19,1
129,YouBike2.0_臥龍街195巷口,14,1,大安區,2023-05-27 13:21:04,臥龍街/臥龍街195巷(南側),12,1
130,YouBike2.0_辛亥路三段157巷口,19,2,大安區,2023-05-27 13:14:18,辛亥路三段與辛亥路三段157巷口西北側,17,1
131,YouBike2.0_臥龍基隆路口,16,2,大安區,2023-05-27 13:11:15,臥龍街與基隆路二段口東北側,14,1
132,YouBike2.0_敦親公園,20,2,大安區,2023-05-27 13:24:14,和平東路二段96巷8之1號(前方),18,1
134,YouBike2.0_和平敦化路口,25,1,大安區,2023-05-27 13:25:15,和平東路三段 / 敦化南路二段口(東側),23,1
135,YouBike2.0_基隆長興路口,43,0,大安區,2023-05-27 12:29:04,基隆路/長興街(東南側),43,1
136,YouBike2.0_仁愛路四段122巷口,16,2,大安區,2023-05-27 13:23:15,仁愛路四段118號前,14,1
140,YouBike2.0_和平新生路口西南側,13,3,大安區,2023-05-27 13:25:15,新生南路三段2號前,10,1
141,YouBike2.0_全安公園,16,1,大安區,2023-05-27 13:15:14,安和路二段227巷16號對側,14,1
143,YouBike2.0_仁愛敦南圓環(東南側),16,2,大安區,2023-05-27 13:25:15,仁愛路四段110號前,10,1
144,YouBike2.0_臺北遠企購物中心,33,2,大安區,2023-05-27 13:23:15,敦化南路二段201號前,30,1
146,YouBike2.0_四維路170巷口,22,0,大安區,2023-05-27 13:17:22,敦化南路二段92號對側中央分隔島,22,1
151,YouBike2.0_敦化南路二段81巷,40,2,大安區,2023-05-27 13:23:15,敦化南路二段與敦化南路二段81巷口西北側,37,1
152,YouBike2.0_原臺北刑務所官舍,23,0,大安區,2023-05-27 13:17:22,金華街78號對側,23,1
158,YouBike2.0_捷運大安站(5號出口),19,1,大安區,2023-05-27 13:26:04,復興南路二段/信義路四段(東南側),15,1
159,YouBike2.0_臨江公園,13,0,大安區,2023-05-27 13:24:04,通化街143巷33號對側,12,1
163,YouBike2.0_樂利路101巷口,13,1,大安區,2023-05-27 13:24:14,樂利路97號前,12,1
168,YouBike2.0_民族延平路口,23,3,大同區,2023-05-27 13:19:14,延平北路三段123號北側,20,1
169,YouBike2.0_重慶酒泉街口,30,3,大同區,2023-05-27 13:17:32,重慶北路三段260號前,27,1
170,YouBike2.0_樹德公園,14,1,大同區,2023-05-27 13:15:14,大龍街85巷12號對側,13,1
171,YouBike2.0_陳天來故居,18,3,大同區,2023-05-27 13:25:15,西寧北路112號前方,15,1
175,YouBike2.0_重慶國中,37,2,大同區,2023-05-27 13:21:17,敦煌路19號前,35,1
177,YouBike2.0_台北數位產業園區,24,3,大同區,2023-05-27 13:12:14,承德路三段287號前方,21,1
181,YouBike2.0_大龍老人住宅,14,0,大同區,2023-05-27 12:32:04,民族西路82號前方,14,1
183,YouBike2.0_捷運大橋頭站(2號出口),57,2,大同區,2023-05-27 13:25:15,捷運大橋頭站(2號出口)西側,55,1
184,YouBike2.0_捷運大橋頭站(1A出口),18,1,大同區,2023-05-27 13:25:04,民權西路237號旁,15,1
185,YouBike2.0_捷運民權西路站(2號出口),25,1,大同區,2023-05-27 13:21:17,捷運民權西路站(2號出口)西側,24,1
187,YouBike2.0_捷運北門站(3號出口),62,3,大同區,2023-05-27 13:26:19,塔城街與鄭州路口西南側,59,1
188,YouBike2.0_朝陽公園,10,0,大同區,2023-05-27 13:24:04,重慶北路二段62-1號旁,10,1
192,YouBike2.0_圓山線形公園,14,2,大同區,2023-05-27 13:23:15,玉門街/民族西路(西北側),12,1
197,YouBike2.0_國順公園,20,3,大同區,2023-05-27 13:14:18,昌吉街117號前,17,1
198,YouBike2.0_聯合醫院中興院區,27,3,大同區,2023-05-27 13:24:14,長安西路299號(對面),24,1
201,YouBike2.0_大同運動中心,16,2,大同區,2023-05-27 13:21:17,大龍街51號(旁),14,1
205,YouBike2.0_民權國中(民權西路),17,2,大同區,2023-05-27 13:24:14,民權西路/蘭州街(西側),15,1
207,YouBike2.0_南京太原路口,18,3,大同區,2023-05-27 13:23:15,南京西路/太原路(東側),15,1
209,YouBike2.0_太原五原路口,24,0,大同區,2023-05-27 13:17:22,太原路 / 五原路口(東南側),24,1
211,YouBike2.0_捷運民權西路站(3號出口),50,3,大同區,2023-05-27 13:22:15,民權西路70巷37號對面,47,1
223,YouBike2.0_劍潭抽水站,17,1,士林區,2023-05-27 12:27:14,通河東街325巷/通河東街口,12,1
224,YouBike2.0_通河東街大南路口,15,3,士林區,2023-05-27 13:19:14,通河東街1段192號(旁),11,1
225,YouBike2.0_福港街停車場,22,0,士林區,2023-05-27 13:11:04,華齡街175號(旁),22,1
227,YouBike2.0_雨聲街165巷口,15,2,士林區,2023-05-27 12:56:04,雨聲街/雨聲街165巷(西北側),13,1
